HDATE,CRSCRUB250,CRMR250,BWFWLTM500
2019-06-01,304,187,44
2019-07-01,344,179,56
2019-08-01,432,230,49
2019-09-01,490,257,56
2019-10-01,614,427,74
2019-11-01,441,231,95
2019-12-01,262,191,59
2020-01-01,314,202,93
2020-02-01,289,165,100
2020-03-01,340,243,181
2020-04-01,522,361,215
2020-05-01,441,236,178
2020-06-01,471,203,237
2020-07-01,520,319,87
2020-08-01,379,233,82
2020-09-01,265,310,147
2020-10-01,730,570,186
2020-11-01,414,389,315
2020-12-01,343,194,93
2021-01-01,285,143,94
2021-02-01,379,186,101
2021-03-01,320,214,99
2021-04-01,524,248,369
2021-05-01,251,166,229
